2025-04-06 16:29:03,290 INFO    MainThread:30526 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_setup.py:_flush():67] Configure stats pid to 30526
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_setup.py:_flush():67] Loading settings from /home/user/.config/wandb/settings
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_setup.py:_flush():67] Loading settings from /home/user/EV_hw/hw1-YMJ1123/wandb/settings
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/user/EV_hw/hw1-YMJ1123/wandb/run-20250406_162903-tlvgka1j/logs/debug.log
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/user/EV_hw/hw1-YMJ1123/wandb/run-20250406_162903-tlvgka1j/logs/debug-internal.log
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_init.py:init():761] calling init triggers
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'name': '3dgs', 'data_folder': 'data', 'resize_scale': 0.5, 'num_steps': 10000, 'num_points': 16384, 'l1_weight': 0.8, 'dssim_weight': 0.4, 'depth_weight': 0.0, 'lr': 0.001, 'eval_interval': 500, 'output_folder': 'outputs', 'device': 'cuda', 'render': {'tile_size': 50}, '_wandb': {}}
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_init.py:init():784] starting backend
2025-04-06 16:29:03,291 INFO    MainThread:30526 [wandb_init.py:init():788] sending inform_init request
2025-04-06 16:29:03,299 INFO    MainThread:30526 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-06 16:29:03,299 INFO    MainThread:30526 [wandb_init.py:init():798] backend started and connected
2025-04-06 16:29:03,301 INFO    MainThread:30526 [wandb_init.py:init():891] updated telemetry
2025-04-06 16:29:03,309 INFO    MainThread:30526 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-06 16:29:03,918 INFO    MainThread:30526 [wandb_init.py:init():990] starting run threads in backend
2025-04-06 16:29:04,018 INFO    MainThread:30526 [wandb_run.py:_console_start():2375] atexit reg
2025-04-06 16:29:04,018 INFO    MainThread:30526 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-06 16:29:04,018 INFO    MainThread:30526 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-06 16:29:04,018 INFO    MainThread:30526 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-06 16:29:04,021 INFO    MainThread:30526 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-06 16:29:04,314 INFO    MsgRouterThr:30526 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
